AT_STREET;ON_STREET;XSTREET;Geom;Geo Local Area
224;806;E 55TH AV AND SHERBROOKE ST;"{""coordinates"": [-123.08157323833892, 49.21960568802607], ""type"": ""Point""}";Sunset
221;806;ROSS ST AND E 55TH AV;"{""coordinates"": [-123.0830291409553, 49.219846866461616], ""type"": ""Point""}";Sunset
228;804;CULLODEN ST AND E 54TH AV;"{""coordinates"": [-123.07885568908145, 49.22045981429717], ""type"": ""Point""}";Sunset
212;805;PRINCE ALBERT ST AND E 55TH AV;"{""coordinates"": [-123.08774943552817, 49.21991740826329], ""type"": ""Point""}";Sunset
212;807;E 56TH AV AND PRINCE ALBERT ST;"{""coordinates"": [-123.08777600101665, 49.219068297153555], ""type"": ""Point""}";Sunset
300;684;E 14TH AV AND RUPERT ST;"{""coordinates"": [-123.03377824192775, 49.25724884692281], ""type"": ""Point""}";Renfrew-Collingwood
300;694;E 19TH AV AND SEAFORTH DRIVE;"{""coordinates"": [-123.0337994301637, 49.25315839168805], ""type"": ""Point""}";Renfrew-Collingwood
297;698;WINDERMERE ST AND E 21ST AV;"{""coordinates"": [-123.03653863799614, 49.25148619171283], ""type"": ""Point""}";Renfrew-Collingwood
297;692;WINDERMERE ST AND E 18TH AV;"{""coordinates"": [-123.03653319680485, 49.25400052860617], ""type"": ""Point""}";Renfrew-Collingwood
297;691;WINDERMERE ST AND E 17TH AV;"{""coordinates"": [-123.03653085585864, 49.254738883860995], ""type"": ""Point""}";Renfrew-Collingwood
297;685;E 15TH AV AND WINDERMERE ST;"{""coordinates"": [-123.0365190087948, 49.25639495195089], ""type"": ""Point""}";Renfrew-Collingwood
292;688;E 16TH AV AND LILLOOET ST;"{""coordinates"": [-123.03904561049711, 49.25558623838153], ""type"": ""Point""}";Renfrew-Collingwood
292;691;LILLOOET ST AND E 17TH AV;"{""coordinates"": [-123.03905035809976, 49.25477569574538], ""type"": ""Point""}";Renfrew-Collingwood
292;696;LILLOOET ST AND E 20TH AV;"{""coordinates"": [-123.03905617710994, 49.25232743783295], ""type"": ""Point""}";Renfrew-Collingwood
149;843;WALKWAY AND OAK ST;"{""coordinates"": [-123.13044188600186, 49.202903247728045], ""type"": ""Point""}";Marpole
305;665;E 11TH AV AND SKEENA ST;"{""coordinates"": [-123.02849901500596, 49.260102435449134], ""type"": ""Point""}";Renfrew-Collingwood
305;664;CORNETT ROAD AND SKEENA ST;"{""coordinates"": [-123.02848745825312, 49.26120367669903], ""type"": ""Point""}";Renfrew-Collingwood
303;670;NATAL ST AND GRANDVIEW HIGHWAY;"{""coordinates"": [-123.03031496946431, 49.258138606555185], ""type"": ""Point""}";Renfrew-Collingwood
135;823;W 64TH AV AND CARTIER ST;"{""coordinates"": [-123.1376477968637, 49.21310134202611], ""type"": ""Point""}";Marpole
216;791;WINDSOR ST AND E 50TH AV;"{""coordinates"": [-123.08527650424384, 49.224460900193826], ""type"": ""Point""}";Sunset
216;790;WINDSOR ST AND E 49TH AV;"{""coordinates"": [-123.08525286494803, 49.22540885673122], ""type"": ""Point""}";Sunset
221;762;ROSS ST AND E 47TH AV;"{""coordinates"": [-123.08263497525083, 49.22783454169532], ""type"": ""Point""}";Sunset
226;765;WAVERLEY AV AND INVERNESS ST;"{""coordinates"": [-123.07999848166335, 49.226978222646466], ""type"": ""Point""}";Sunset
221;765;WAVERLEY AV AND ROSS ST;"{""coordinates"": [-123.08235215790558, 49.22702091534823], ""type"": ""Point""}";Sunset
226;769;E 48TH AV AND INVERNESS ST;"{""coordinates"": [-123.08002531391948, 49.22616729010156], ""type"": ""Point""}";Sunset
212;765;PRINCE ALBERT ST AND E 47TH AV;"{""coordinates"": [-123.08794569724536, 49.22733713160989], ""type"": ""Point""}";Sunset
224;758;E 45TH AV AND SHERBROOKE ST;"{""coordinates"": [-123.08131551092141, 49.2290650131343], ""type"": ""Point""}";Sunset
214;758;ST. CATHERINES ST AND E 45TH AV;"{""coordinates"": [-123.08652063232255, 49.22910993225576], ""type"": ""Point""}";Sunset
211;758;CHESTER ST AND E 45TH AV;"{""coordinates"": [-123.08928260388943, 49.22914284914874], ""type"": ""Point""}";Sunset
224;790;SHERBROOKE ST AND E 49TH AV;"{""coordinates"": [-123.081434565446, 49.225353987901684], ""type"": ""Point""}";Sunset
152;795;W 52ND AV AND FREMLIN ST;"{""coordinates"": [-123.12681291665007, 49.22389112224046], ""type"": ""Point""}";Oakridge
153;795;W 52ND AV AND LAUREL ST;"{""coordinates"": [-123.12524095233093, 49.22386851402873], ""type"": ""Point""}";Oakridge
162;793;W 51ST AV AND TISDALL ST;"{""coordinates"": [-123.12092017085858, 49.22447106921563], ""type"": ""Point""}";Oakridge
162;797;W 53RD AV AND TISDALL ST;"{""coordinates"": [-123.12073959994535, 49.22266188666026], ""type"": ""Point""}";Oakridge
156;796;HEATHER ST AND W 52ND AV;"{""coordinates"": [-123.12368963972649, 49.223260621088635], ""type"": ""Point""}";Oakridge
156;792;HEATHER ST AND W 50TH AV;"{""coordinates"": [-123.12361684572285, 49.22546563713819], ""type"": ""Point""}";Oakridge
182;702;MANITOBA ST AND W 21ST AV;"{""coordinates"": [-123.10731612372483, 49.2519138914351], ""type"": ""Point""}";Riley Park
182;703;W 22ND AV AND MANITOBA ST;"{""coordinates"": [-123.10735618449162, 49.25100986108675], ""type"": ""Point""}";Riley Park
190;706;MAIN ST AND E 23RD AV;"{""coordinates"": [-123.10100292024332, 49.25024847713826], ""type"": ""Point""}";Riley Park
184;707;W 23RD AV AND E 23RD AV;"{""coordinates"": [-123.10494092074137, 49.24991422176789], ""type"": ""Point""}";Riley Park
182;707;W 23RD AV AND MANITOBA ST;"{""coordinates"": [-123.10740264778333, 49.24996047075276], ""type"": ""Point""}";Riley Park
207;770;E 15TH AV AND KINGSWAY;"{""coordinates"": [-123.0909252304146, 49.25721685504075], ""type"": ""Point""}";Mount Pleasant
203;689;CAROLINA ST AND E 16TH AV;"{""coordinates"": [-123.09184312655161, 49.25646012609955], ""type"": ""Point""}";Mount Pleasant
194;689;SOPHIA ST AND E 16TH AV;"{""coordinates"": [-123.09843130713011, 49.256564721625516], ""type"": ""Point""}";Mount Pleasant
190;690;E 16TH AV AND MAIN ST;"{""coordinates"": [-123.10122753995722, 49.25658432582617], ""type"": ""Point""}";Mount Pleasant
186;690;QUEBEC ST AND E 16TH AV;"{""coordinates"": [-123.10323208085363, 49.256620799814584], ""type"": ""Point""}";Mount Pleasant
182;690;W 16TH AV AND MANITOBA ST;"{""coordinates"": [-123.10710476016682, 49.25670583257136], ""type"": ""Point""}";Mount Pleasant
179;691;W 17TH AV AND COLUMBIA ST;"{""coordinates"": [-123.10974464427127, 49.25575421579469], ""type"": ""Point""}";Riley Park
190;691;E 17TH AV AND MAIN ST;"{""coordinates"": [-123.10126631428226, 49.255680515362734], ""type"": ""Point""}";Riley Park
194;691;SOPHIA ST AND E 17TH AV;"{""coordinates"": [-123.09846247837848, 49.2556611164833], ""type"": ""Point""}";Riley Park
199;691;E 17TH AV AND ST. GEORGE ST;"{""coordinates"": [-123.09380743404864, 49.25559191269762], ""type"": ""Point""}";Riley Park
199;692;ST. GEORGE ST AND E 18TH AV;"{""coordinates"": [-123.09384137907614, 49.25468646239492], ""type"": ""Point""}";Riley Park
187;693;E 18TH AV AND QUEBEC ST;"{""coordinates"": [-123.1027865292173, 49.25463525974208], ""type"": ""Point""}";Riley Park
184;693;E 18TH AV AND W 18TH AV;"{""coordinates"": [-123.10504690593936, 49.254675243346064], ""type"": ""Point""}";Riley Park
179;693;W 18TH AV AND COLUMBIA ST;"{""coordinates"": [-123.10978927002967, 49.254764663304755], ""type"": ""Point""}";Riley Park
182;694;MANITOBA ST AND W 19TH AV;"{""coordinates"": [-123.10723222221064, 49.25381231217017], ""type"": ""Point""}";Riley Park
206;665;CAROLINA ST AND E 11TH AV;"{""coordinates"": [-123.09108509856513, 49.26063593539825], ""type"": ""Point""}";Mount Pleasant
198;665;E 11TH AV AND GUELPH ST;"{""coordinates"": [-123.09495396773225, 49.26066686747047], ""type"": ""Point""}";Mount Pleasant
197;664;E 11TH AV AND PRINCE EDWARD ST;"{""coordinates"": [-123.09613953660049, 49.26105641408179], ""type"": ""Point""}";Mount Pleasant
194;770;E 11TH AV AND SOPHIA ST;"{""coordinates"": [-123.09827556959398, 49.2610886458329], ""type"": ""Point""}";Mount Pleasant
194;683;E 13TH AV AND SOPHIA ST;"{""coordinates"": [-123.09833856546547, 49.25928013204449], ""type"": ""Point""}";Mount Pleasant
165;648;W 8TH AV AND ASH ST;"{""coordinates"": [-123.11746896088765, 49.26417060068716], ""type"": ""Point""}";Fairview
150;650;OAK ST AND W BROADWAY;"{""coordinates"": [-123.12658914154002, 49.263406513408725], ""type"": ""Point""}";Fairview
170;739;W 37TH AV AND CAMBIE ST;"{""coordinates"": [-123.11604550504448, 49.237247841706335], ""type"": ""Point""}";South Cambie
165;719;ASH ST AND W 30TH AV;"{""coordinates"": [-123.11862178239835, 49.244313182714116], ""type"": ""Point""}";South Cambie
170;719;CAMBIE ST AND W 30TH AV;"{""coordinates"": [-123.11731561215446, 49.24369604893992], ""type"": ""Point""}";South Cambie
172;822;W 63RD AV AND YUKON ST;"{""coordinates"": [-123.11463003635956, 49.213170842643514], ""type"": ""Point""}";Marpole
165;825;ASH ST AND W 65TH AV;"{""coordinates"": [-123.12022152029995, 49.21148313871395], ""type"": ""Point""}";Marpole
165;830;SW MARINE DRIVE AND ASH ST;"{""coordinates"": [-123.12034667289181, 49.20878588753288], ""type"": ""Point""}";Marpole
132;830;W 70TH AV AND FRENCH ST;"{""coordinates"": [-123.13919057589317, 49.20860446581993], ""type"": ""Point""}";Marpole
138;830;W 70TH AV AND MONTCALM ST;"{""coordinates"": [-123.1361293788684, 49.208559323653496], ""type"": ""Point""}";Marpole
125;830;SW MARINE DRIVE AND W 70TH AV;"{""coordinates"": [-123.14218567179351, 49.20855871979742], ""type"": ""Point""}";Marpole
090;823;ANGUS DRIVE AND LABURNUM ST;"{""coordinates"": [-123.14853879127683, 49.21182952638451], ""type"": ""Point""}";Marpole
090;823;ANGUS DRIVE AND W 64TH AV;"{""coordinates"": [-123.14848463531183, 49.21327691986398], ""type"": ""Point""}";Marpole
123;823;W 64TH AV AND EAST BOULEVARD;"{""coordinates"": [-123.14658961550799, 49.21324586885515], ""type"": ""Point""}";Marpole
121;830;WILTSHIRE ST AND SW MARINE DRIVE;"{""coordinates"": [-123.14640276743766, 49.20862365096271], ""type"": ""Point""}";Marpole
124;824;ADERA ST AND W 65TH AV;"{""coordinates"": [-123.14356371972112, 49.212306270535606], ""type"": ""Point""}";Marpole
123;824;W 65TH AV AND EAST BOULEVARD;"{""coordinates"": [-123.14606547737274, 49.2123471929853], ""type"": ""Point""}";Marpole
124;827;ADERA ST AND W 68TH AV;"{""coordinates"": [-123.14362657134106, 49.21056474933553], ""type"": ""Point""}";Marpole
132;826;W 67TH AV AND FRENCH ST;"{""coordinates"": [-123.13914029439098, 49.210863163235196], ""type"": ""Point""}";Marpole
137;826;W 67TH AV AND HAIG ST;"{""coordinates"": [-123.13700834560352, 49.2108297845005], ""type"": ""Point""}";Marpole
138;823;BIRCH ST AND W 64TH AV;"{""coordinates"": [-123.1363406086642, 49.21308415516747], ""type"": ""Point""}";Marpole
152;823;W 64TH AV AND FREMLIN ST;"{""coordinates"": [-123.12733399036868, 49.21294651641795], ""type"": ""Point""}";Marpole
153;823;LAUREL ST AND W 64TH AV;"{""coordinates"": [-123.1259503075504, 49.21292564419041], ""type"": ""Point""}";Marpole
156;822;W 63RD AV AND HEATHER ST;"{""coordinates"": [-123.12402693542995, 49.21334501670763], ""type"": ""Point""}";Marpole
150;797;W 53RD AV AND OAK ST;"{""coordinates"": [-123.12845114202821, 49.22280969088931], ""type"": ""Point""}";Oakridge
156;790;HEATHER ST AND W 49TH AV;"{""coordinates"": [-123.12358681893235, 49.22637809505183], ""type"": ""Point""}";Oakridge
152;790;W 49TH AV AND FREMLIN ST;"{""coordinates"": [-123.12672641786388, 49.226494015674696], ""type"": ""Point""}";Oakridge
175;765;W 47TH AV AND ALBERTA ST;"{""coordinates"": [-123.11299850776018, 49.227777518531916], ""type"": ""Point""}";Oakridge
175;769;W 48TH AV AND ALBERTA ST;"{""coordinates"": [-123.11297653436641, 49.22687485638209], ""type"": ""Point""}";Oakridge
162;790;TISDALL ST AND W 49TH AV;"{""coordinates"": [-123.12086027390826, 49.226277012599546], ""type"": ""Point""}";Oakridge
161;790;TISDALL ST AND W 49TH AV;"{""coordinates"": [-123.12176853585774, 49.226311050342], ""type"": ""Point""}";Oakridge
161;769;TISDALL ST AND W 48TH AV;"{""coordinates"": [-123.12173587847619, 49.22726254085261], ""type"": ""Point""}";Oakridge
230;691;KNIGHT ST AND E 17TH AV;"{""coordinates"": [-123.07591596869722, 49.25530906644214], ""type"": ""Point""}";Kensington-Cedar Cottage
250;701;VICTORIA DRIVE AND E 22ND AV;"{""coordinates"": [-123.06500883040991, 49.25028625624155], ""type"": ""Point""}";Kensington-Cedar Cottage
259;701;GLENGYLE ST AND E 22ND AV;"{""coordinates"": [-123.06367761964006, 49.25027241636853], ""type"": ""Point""}";Kensington-Cedar Cottage
206;684;CAROLINA ST AND E 14TH AV;"{""coordinates"": [-123.09113329115233, 49.25792272552543], ""type"": ""Point""}";Mount Pleasant
197;684;PRINCE EDWARD ST AND E 14TH AV;"{""coordinates"": [-123.09639442139395, 49.25834867897494], ""type"": ""Point""}";Mount Pleasant
191;684;WATSON ST AND E 14TH AV;"{""coordinates"": [-123.1005525642125, 49.258381646531205], ""type"": ""Point""}";Mount Pleasant
186;684;QUEBEC ST AND E 14TH AV;"{""coordinates"": [-123.10315509831796, 49.258429563512436], ""type"": ""Point""}";Mount Pleasant
179;687;COLUMBIA ST AND W 15TH AV;"{""coordinates"": [-123.10965972668059, 49.25772549025989], ""type"": ""Point""}";Mount Pleasant
182;687;W 15TH AV AND MANITOBA ST;"{""coordinates"": [-123.10706707530467, 49.25759422604859], ""type"": ""Point""}";Mount Pleasant
190;687;E 15TH AV AND MAIN ST;"{""coordinates"": [-123.10119100896769, 49.25749040096366], ""type"": ""Point""}";Mount Pleasant
199;687;E 15TH AV AND ST. GEORGE ST;"{""coordinates"": [-123.09374185514066, 49.25733341288376], ""type"": ""Point""}";Mount Pleasant
185;691;QUEBEC PLACE AND E 17TH AV;"{""coordinates"": [-123.10391926433233, 49.25572788517918], ""type"": ""Point""}";Riley Park
172;837;W KENT AV NORTH AND YUKON ST;"{""coordinates"": [-123.11529125261444, 49.2064472663198], ""type"": ""Point""}";Marpole
166;839;W KENT AV SOUTH AND WALKWAY;"{""coordinates"": [-123.1191057431153, 49.205455262571384], ""type"": ""Point""}";Marpole
166;842;WALKWAY AND W KENT AV NORTH;"{""coordinates"": [-123.11909716045646, 49.20574581052956], ""type"": ""Point""}";Marpole
166;831;W 70TH AV AND ASH ST;"{""coordinates"": [-123.11900869420018, 49.2082229991068], ""type"": ""Point""}";Marpole
166;830;ASH ST AND SW MARINE DRIVE;"{""coordinates"": [-123.1189441033207, 49.209375587465324], ""type"": ""Point""}";Marpole
172;830;SW MARINE DRIVE AND YUKON ST;"{""coordinates"": [-123.11472859967668, 49.21105475645829], ""type"": ""Point""}";Marpole
174;823;W 64TH AV AND W 63RD AV;"{""coordinates"": [-123.1139527972829, 49.21316952478163], ""type"": ""Point""}";Marpole
171;824;W 64TH AV AND NUNAVUT LANE;"{""coordinates"": [-123.11622027302329, 49.21228465714196], ""type"": ""Point""}";Marpole
190;822;MAIN ST AND E 63RD AV;"{""coordinates"": [-123.10210087460038, 49.21327749712974], ""type"": ""Point""}";Sunset
181;823;MANITOBA ST AND W 64TH AV;"{""coordinates"": [-123.10996044521183, 49.21251076561166], ""type"": ""Point""}";Marpole
181;831;W 68TH AV AND MANITOBA ST;"{""coordinates"": [-123.1101063308206, 49.210056154361965], ""type"": ""Point""}";Marpole
181;833;MANITOBA ST AND W 70TH AV;"{""coordinates"": [-123.11017091892592, 49.20866735477025], ""type"": ""Point""}";Marpole
181;835;W 71ST AV AND MANITOBA ST;"{""coordinates"": [-123.11023056488258, 49.2074038010036], ""type"": ""Point""}";Marpole
181;837;W KENT AV NORTH AND MANITOBA ST;"{""coordinates"": [-123.11025530370044, 49.206884739903806], ""type"": ""Point""}";Marpole
034;710;WALLACE ST AND W KING EDWARD AV;"{""coordinates"": [-123.19084859684524, 49.25008319192521], ""type"": ""Point""}";Dunbar-Southlands
145;823;SELKIRK ST AND W 64TH AV;"{""coordinates"": [-123.13283697283732, 49.21302937235926], ""type"": ""Point""}";Marpole
150;826;OAK ST AND W 67TH AV;"{""coordinates"": [-123.1301707404381, 49.21072925422595], ""type"": ""Point""}";Marpole
151;826;W 67TH AV AND SHAUGHNESSY ST;"{""coordinates"": [-123.1287914166315, 49.21070871696865], ""type"": ""Point""}";Marpole
144;830;HUDSON ST AND W 70TH AV;"{""coordinates"": [-123.13459923401142, 49.20853619089644], ""type"": ""Point""}";Marpole
145;830;W 70TH AV AND SELKIRK ST;"{""coordinates"": [-123.1330028594197, 49.20851275433842], ""type"": ""Point""}";Marpole
235;692;DUMFRIES ST AND E 18TH AV;"{""coordinates"": [-123.07291016441464, 49.254355683199606], ""type"": ""Point""}";Kensington-Cedar Cottage
242;692;WELWYN ST AND E 18TH AV;"{""coordinates"": [-123.06931703705708, 49.254301611737645], ""type"": ""Point""}";Kensington-Cedar Cottage
251;692;COMMERCIAL ST AND VICTORIA DIVERSION;"{""coordinates"": [-123.06794834282424, 49.254280719335725], ""type"": ""Point""}";Kensington-Cedar Cottage
237;687;E 15TH AV AND FLEMING ST;"{""coordinates"": [-123.07088384479974, 49.256400378755956], ""type"": ""Point""}";Kensington-Cedar Cottage
246;697;STAINSBURY AV AND BEATRICE ST;"{""coordinates"": [-123.06669832888554, 49.25194677409453], ""type"": ""Point""}";Kensington-Cedar Cottage
252;694;VICTORIA DIVERSION AND PORTER ST;"{""coordinates"": [-123.06695940582861, 49.25351465212234], ""type"": ""Point""}";Kensington-Cedar Cottage
255;656;SEMLIN DRIVE AND GRANDVIEW HWY NORTH;"{""coordinates"": [-123.06397535045677, 49.26142091443913], ""type"": ""Point""}";Kensington-Cedar Cottage
230;670;CLARK DRIVE AND E 12TH AV;"{""coordinates"": [-123.07755517603566, 49.25962215457653], ""type"": ""Point""}";Mount Pleasant
228;684;E 14TH AV AND CLARK DRIVE;"{""coordinates"": [-123.07758749997357, 49.25781557935824], ""type"": ""Point""}";Mount Pleasant
228;691;E 17TH AV AND CLARK DRIVE;"{""coordinates"": [-123.07784572669405, 49.25533974233322], ""type"": ""Point""}";Kensington-Cedar Cottage
259;670;LAKEWOOD DRIVE AND E 12TH AV;"{""coordinates"": [-123.06207728628912, 49.25951246476526], ""type"": ""Point""}";Kensington-Cedar Cottage
259;683;E 13TH AV AND LAKEWOOD DRIVE;"{""coordinates"": [-123.06209510535284, 49.258598262839094], ""type"": ""Point""}";Kensington-Cedar Cottage
230;650;E BROADWAY AND CLARK DRIVE;"{""coordinates"": [-123.07750063293022, 49.26238120167844], ""type"": ""Point""}";Mount Pleasant
234;650;WOODLAND DRIVE AND E BROADWAY;"{""coordinates"": [-123.0736308435801, 49.26235016249481], ""type"": ""Point""}";Grandview-Woodland
230;655;CLARK DRIVE AND E 10TH AV;"{""coordinates"": [-123.07751905985212, 49.26143089061202], ""type"": ""Point""}";Mount Pleasant
067;686;W 14TH AV AND MACKENZIE ST;"{""coordinates"": [-123.1702728803655, 49.25959720473738], ""type"": ""Point""}";Kitsilano
067;683;MACKENZIE ST AND W 13TH AV;"{""coordinates"": [-123.17024017542113, 49.26050155989668], ""type"": ""Point""}";Kitsilano
058;630;POINT GREY ROAD AND BALACLAVA ST;"{""coordinates"": [-123.17372311551753, 49.271114236085374], ""type"": ""Point""}";Kitsilano
058;636;BALACLAVA ST AND W 2ND AV;"{""coordinates"": [-123.17375596681042, 49.27022085551023], ""type"": ""Point""}";Kitsilano
058;646;W 7TH AV AND BALACLAVA ST;"{""coordinates"": [-123.17391395903825, 49.2658850020016], ""type"": ""Point""}";Kitsilano
062;646;W 7TH AV AND BAYSWATER ST;"{""coordinates"": [-123.17115680504108, 49.26584353147518], ""type"": ""Point""}";Kitsilano
062;630;POINT GREY ROAD AND BAYSWATER ST;"{""coordinates"": [-123.17097083793959, 49.27108040862912], ""type"": ""Point""}";Kitsilano
058;670;BALACLAVA ST AND W 10TH AV;"{""coordinates"": [-123.17400825217528, 49.26329362837641], ""type"": ""Point""}";Kitsilano
061;678;CARNARVON ST AND W 12TH AV;"{""coordinates"": [-123.17214002229655, 49.2614355514917], ""type"": ""Point""}";Kitsilano
050;643;W 6TH AV AND BLENHEIM ST;"{""coordinates"": [-123.17774986573541, 49.2667812487255], ""type"": ""Point""}";Kitsilano
045;670;WATERLOO ST AND W 10TH AV;"{""coordinates"": [-123.17987850649163, 49.26338496200025], ""type"": ""Point""}";Kitsilano
210;689;E 16TH AV AND FRASER ST;"{""coordinates"": [-123.08986513368238, 49.25642902889461], ""type"": ""Point""}";Mount Pleasant
210;692;E 18TH AV AND FRASER ST;"{""coordinates"": [-123.08993202759486, 49.2546258854007], ""type"": ""Point""}";Riley Park
179;707;COLUMBIA ST AND W 23RD AV;"{""coordinates"": [-123.10999890909063, 49.25000975956351], ""type"": ""Point""}";Riley Park
058;686;W 14TH AV AND BALACLAVA ST;"{""coordinates"": [-123.17413879882216, 49.25965734165868], ""type"": ""Point""}";Kitsilano
058;683;BALACLAVA ST AND W 13TH AV;"{""coordinates"": [-123.17410609535392, 49.26056158098977], ""type"": ""Point""}";Kitsilano
061;686;CARNARVON ST AND W 14TH AV;"{""coordinates"": [-123.17220557046407, 49.25962728976814], ""type"": ""Point""}";Kitsilano
061;683;CARNARVON ST AND W 13TH AV;"{""coordinates"": [-123.17217279064906, 49.260531582628246], ""type"": ""Point""}";Kitsilano
045;643;W 6TH AV AND WATERLOO ST;"{""coordinates"": [-123.17975436626809, 49.266813327872704], ""type"": ""Point""}";Kitsilano
203;830;SE MARINE DRIVE AND POPLAR ST;"{""coordinates"": [-123.09333915719859, 49.211022208223234], ""type"": ""Point""}";Sunset
190;837;E KENT AV NORTH AND MAIN ST;"{""coordinates"": [-123.1024397752633, 49.20724386763999], ""type"": ""Point""}";Sunset
190;830;SE MARINE DRIVE AND MAIN ST;"{""coordinates"": [-123.10219366971934, 49.21109428607645], ""type"": ""Point""}";Sunset
195;825;E 65TH AV AND SOPHIA ST;"{""coordinates"": [-123.1002573717362, 49.211717530320165], ""type"": ""Point""}";Sunset
201;813;ST. GEORGE ST AND E 59TH AV;"{""coordinates"": [-123.09414359085483, 49.216591992584924], ""type"": ""Point""}";Sunset
211;821;E 63RD AV AND CHESTER ST;"{""coordinates"": [-123.08953368260417, 49.21298234301673], ""type"": ""Point""}";Sunset
211;837;E KENT AV NORTH AND CHESTER ST;"{""coordinates"": [-123.0892510995131, 49.20834836915164], ""type"": ""Point""}";Sunset
210;837;E KENT AV NORTH AND FRASER ST;"{""coordinates"": [-123.09118584750738, 49.20818508665438], ""type"": ""Point""}";Sunset
201;837;E KENT AV NORTH AND ST. GEORGE ST;"{""coordinates"": [-123.09408681279726, 49.207940067092416], ""type"": ""Point""}";Sunset
210;819;E 62ND AV AND FRASER ST;"{""coordinates"": [-123.09103573321097, 49.21416037871118], ""type"": ""Point""}";Sunset
199;830;BUSCOMBE ST AND SE MARINE DRIVE;"{""coordinates"": [-123.09536005705883, 49.21106665836182], ""type"": ""Point""}";Sunset
197;830;SE MARINE DRIVE AND PRINCE EDWARD ST;"{""coordinates"": [-123.09800057570715, 49.21087741822568], ""type"": ""Point""}";Sunset
199;821;E 63RD AV AND BUSCOMBE ST;"{""coordinates"": [-123.09530330547715, 49.213263830800315], ""type"": ""Point""}";Sunset
197;821;PRINCE EDWARD ST AND E 63RD AV;"{""coordinates"": [-123.0979228506301, 49.213428853137174], ""type"": ""Point""}";Sunset
210;823;E 64TH AV AND FRASER ST;"{""coordinates"": [-123.09105646144404, 49.212609971209226], ""type"": ""Point""}";Sunset
203;823;E 64TH AV AND POPLAR ST;"{""coordinates"": [-123.09330162793266, 49.21261730973182], ""type"": ""Point""}";Sunset
197;823;PRINCE EDWARD ST AND E 64TH AV;"{""coordinates"": [-123.09795361875025, 49.21256593636115], ""type"": ""Point""}";Sunset
203;825;E 65TH AV AND POPLAR ST;"{""coordinates"": [-123.09332043419309, 49.21181983546075], ""type"": ""Point""}";Sunset
020;631;SIMPSON AV AND BLANCA ST;"{""coordinates"": [-123.21483054419087, 49.274382741789715], ""type"": ""Point""}";West Point Grey
022;631;SIMPSON AV AND TOLMIE ST;"{""coordinates"": [-123.21176188214716, 49.274334705126414], ""type"": ""Point""}";West Point Grey
021;633;BELMONT AV AND LANGARA AV;"{""coordinates"": [-123.21317497658985, 49.273764779673996], ""type"": ""Point""}";West Point Grey
020;634;BELLEVUE DRIVE AND BLANCA ST;"{""coordinates"": [-123.21485280316641, 49.27379119426264], ""type"": ""Point""}";West Point Grey
021;636;W 2ND AV AND DRUMMOND DRIVE;"{""coordinates"": [-123.21340414058594, 49.271414666794726], ""type"": ""Point""}";West Point Grey
019;636;W 2ND AV AND DRUMMOND DRIVE;"{""coordinates"": [-123.2209071958314, 49.27117358962183], ""type"": ""Point""}";West Point Grey
019;635;FANNIN AV AND DRUMMOND DRIVE;"{""coordinates"": [-123.22058240333317, 49.273837787676975], ""type"": ""Point""}";West Point Grey
026;642;W 5TH AV AND TRIMBLE ST;"{""coordinates"": [-123.2059053572378, 49.2680918715967], ""type"": ""Point""}";West Point Grey
027;640;W 4TH AV AND DISCOVERY ST;"{""coordinates"": [-123.20285743677435, 49.26826477169251], ""type"": ""Point""}";West Point Grey
024;640;SASAMAT ST AND W 4TH AV;"{""coordinates"": [-123.20891330599994, 49.26901162889437], ""type"": ""Point""}";West Point Grey
029;638;W 3RD AV AND JERICHO CIRCLE;"{""coordinates"": [-123.20399587631141, 49.27013230342318], ""type"": ""Point""}";West Point Grey
028;639;WALKWAY AND LOCARNO CRESCENT;"{""coordinates"": [-123.20503754725134, 49.2693278716799], ""type"": ""Point""}";West Point Grey
027;636;WALKWAY AND DISCOVERY ST;"{""coordinates"": [-123.20274902348314, 49.271247096449464], ""type"": ""Point""}";West Point Grey
023;636;W 2ND AV AND BELLEVUE DRIVE;"{""coordinates"": [-123.21085091951535, 49.27137591638988], ""type"": ""Point""}";West Point Grey
022;634;TOLMIE ST AND W 1ST AV;"{""coordinates"": [-123.21183845346617, 49.2721862956832], ""type"": ""Point""}";West Point Grey
023;637;BELLEVUE DRIVE AND W 3RD AV;"{""coordinates"": [-123.20910485192634, 49.27019076942108], ""type"": ""Point""}";West Point Grey
029;638;DISCOVERY ST AND JERICHO CIRCLE;"{""coordinates"": [-123.20281353170958, 49.26950875951223], ""type"": ""Point""}";West Point Grey
030;633;TRIMBLE ST AND NW MARINE DRIVE;"{""coordinates"": [-123.20572994049692, 49.27291372898569], ""type"": ""Point""}";West Point Grey
030;630;NW MARINE DRIVE AND TRIMBLE ST;"{""coordinates"": [-123.20565751352228, 49.2749028397062], ""type"": ""Point""}";West Point Grey
026;686;W 14TH AV AND TRIMBLE ST;"{""coordinates"": [-123.20618915934095, 49.26014622802312], ""type"": ""Point""}";West Point Grey
305;770;KINGSWAY AND CECIL ST;"{""coordinates"": [-123.0368810071053, 49.23465059899376], ""type"": ""Point""}";Renfrew-Collingwood
303;770;KINGSWAY AND MCHARDY ST;"{""coordinates"": [-123.03870364186488, 49.23538424890989], ""type"": ""Point""}";Renfrew-Collingwood
